Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,T000007c0681f,T000007c2763a,T000007c0a876,T000007c1a9bf
1484262398.88,0.0349197387695,3.60848046875,3.65453125,3.66336328125,3.6487578125,21.25,21.5,21.812,21.375
1484262399.89,-0.0537719726562,3.60847460937,3.6545546875,3.66337109375,3.64875195313,21.25,21.5,21.812,21.375
1484262400.94,-0.000556945800781,3.60850585938,3.65455273438,3.6633671875,3.64874609375,21.25,21.5,21.375,21.812
1484262401.94,-0.0640716552734,3.60848046875,3.65450390625,3.66337304687,3.64874609375,21.25,21.5,21.375,21.812
1484262402.94,-0.0648345947266,3.60848828125,3.65451757813,3.6633671875,3.64875390625,21.25,21.375,21.5,21.812
1484262403.94,-0.0425186157227,3.608484375,3.65449609375,3.66336328125,3.64875585938,21.25,21.375,21.5,21.812
1484262404.95,0.0614318847656,3.60848242188,3.65455859375,3.6633671875,3.64875,21.25,21.437,21.375,21.812
1484262405.95,-0.0968780517578,3.60848242188,3.65450390625,3.66336328125,3.64875,21.25,21.437,21.375,21.812
1484262407.01,0.034538269043,3.60848632813,3.65457421875,3.66336523438,3.6487578125,21.25,21.5,21.375,21.812
1484262407.95,0.0801239013672,3.60847851562,3.65458789063,3.663375,3.64874609375,21.25,21.5,21.375,21.812
1484262409.01,-0.0470962524414,3.608484375,3.65449609375,3.6633671875,3.64875390625,21.25,21.437,21.375,21.812
1484262409.9,-0.0165786743164,3.60850195313,3.6545078125,3.66336914062,3.64875,21.25,21.437,21.375,21.812
1484262410.95,-0.0226821899414,3.608484375,3.65455273438,3.663359375,3.64874609375,21.187,21.5,21.812,21.375
1484262411.95,-0.146087646484,3.60848828125,3.65448828125,3.663359375,3.64874804688,21.187,21.5,21.812,21.375
1484262412.96,0.052848815918,3.60847265625,3.6545,3.66336132813,3.64874609375,21.25,21.437,21.812,21.375
1484262413.96,0.0232849121094,3.60848242188,3.65458203125,3.66336914062,3.6487421875,21.25,21.437,21.812,21.375
1484262414.96,-0.0524368286133,3.60849023438,3.65455078125,3.66337109375,3.64873828125,21.187,21.5,21.375,21.812
1484262415.96,0.0551376342773,3.6084921875,3.65454492187,3.66336914062,3.64874414062,21.187,21.5,21.375,21.812
1484262416.96,0.0583801269531,3.60849023438,3.65452148438,3.66336328125,3.64875390625,21.25,21.5,21.375,21.812
1484262417.91,0.0288162231445,3.6084921875,3.65453125,3.66337109375,3.64875,21.25,21.5,21.375,21.812
1484262418.91,0.0490341186523,3.60848632813,3.65453515625,3.6633828125,3.64874804688,21.187,21.437,21.375,21.812
1484262419.91,0.022331237793,3.60849023438,3.65452929688,3.66337109375,3.64875,21.187,21.437,21.375,21.812
1484262420.96,-0.11156463623,3.60849023438,3.65453125,3.66336132813,3.64875195313,21.25,21.5,21.812,21.375
1484262421.96,0.0179443359375,3.60848046875,3.65453125,3.66336328125,3.6487421875,21.25,21.5,21.812,21.375
1484262422.97,-0.0821914672852,3.608484375,3.65455273438,3.66337109375,3.64875195313,21.25,21.5,21.375,21.812
1484262423.97,-0.0984039306641,3.6084921875,3.65455273438,3.66335351562,3.64874804688,21.25,21.5,21.375,21.812
1484262424.97,-0.0865783691406,3.60849023438,3.65455078125,3.66336914062,3.6487421875,21.187,21.5,21.375,21.812
1484262425.97,-0.0978317260742,3.608484375,3.6545390625,3.66336914062,3.64875,21.187,21.5,21.375,21.812
1484262426.97,0.117698669434,3.6084765625,3.6545234375,3.66337304687,3.64875195313,21.187,21.437,21.375,21.812
1484262427.97,-0.0507202148438,3.608484375,3.65457226563,3.66336914062,3.64874414062,21.187,21.437,21.375,21.812
1484262428.92,-0.0144805908203,3.60847851562,3.65455078125,3.66335351562,3.64875195313,21.187,21.375,21.437,21.812
1484262429.92,0.0749740600586,3.60847851562,3.6545078125,3.6633671875,3.64874804688,21.187,21.375,21.437,21.812
1484262430.97,0.00535583496094,3.60848828125,3.65451953125,3.663359375,3.6487421875,21.187,21.375,21.5,21.812
1484262431.98,0.105110168457,3.60848632813,3.65452929688,3.66336132813,3.6487421875,21.187,21.375,21.5,21.812
1484262432.98,0.0120315551758,3.60848046875,3.65453710938,3.6633671875,3.64874804688,21.25,21.5,21.375,21.812
1484262433.98,-0.016960144043,3.60847070313,3.65453125,3.663359375,3.64874804688,21.25,21.5,21.375,21.812
1484262434.98,0.0641021728516,3.608484375,3.65451171875,3.66336328125,3.64874023437,21.187,21.5,21.375,21.812
1484262435.98,0.00592803955078,3.60847070313,3.65452148438,3.66336523438,3.64874804688,21.187,21.5,21.375,21.812
1484262436.98,0.00459289550781,3.60848242188,3.65457421875,3.66336523438,3.64874804688,21.187,21.5,21.375,21.812
1484262437.98,0.0272903442383,3.6084921875,3.6545859375,3.66336132813,3.64874804688,21.187,21.5,21.375,21.812
1484262439.04,0.0578079223633,3.60847070313,3.65454296875,3.663359375,3.64875390625,21.25,21.5,21.375,21.812
1484262439.93,-0.0512924194336,3.60848046875,3.65452734375,3.66334960937,3.64874609375,21.25,21.5,21.375,21.812
1484262441.04,0.0564727783203,3.60848828125,3.65451953125,3.663359375,3.64874609375,21.25,21.5,21.812,21.437
1484262441.99,-0.00513458251953,3.60848046875,3.6545390625,3.66336132813,3.6487421875,21.25,21.5,21.812,21.437
1484262442.99,-0.0589218139648,3.6084921875,3.65452929688,3.66336523438,3.64874023437,21.312,21.375,21.812,21.5
1484262443.99,0.107398986816,3.60847851562,3.65453125,3.66335351562,3.64874414062,21.312,21.375,21.812,21.5
1484262444.99,-0.0430908203125,3.60848242188,3.6545625,3.66335351562,3.64874609375,21.312,21.5,21.375,21.812
1484262445.99,0.102821350098,3.60847070313,3.6545703125,3.66335546875,3.64874414062,21.312,21.5,21.375,21.812
1484262446.99,0.119415283203,3.60848828125,3.65454882813,3.66336523438,3.64873632813,21.312,21.375,21.5,21.812
1484262448.0,0.0314865112305,3.60850390625,3.65455273438,3.66335546875,3.64873242188,21.312,21.375,21.5,21.812
1484262448.94,0.0127944946289,3.60847265625,3.65453515625,3.66335546875,3.64873828125,21.312,21.437,21.375,21.812
1484262449.94,0.0127944946289,3.6084765625,3.65453710938,3.6633671875,3.64873632813,21.312,21.437,21.375,21.812
1484262451.0,0.0198516845703,3.60847851562,3.65453125,3.6633515625,3.6487421875,21.312,21.437,21.375,21.812
1484262452.0,0.065055847168,3.60847851562,3.65453125,3.66335351562,3.64873828125,21.312,21.437,21.375,21.812
1484262453.0,0.0774536132812,3.60847851562,3.65452734375,3.66335742188,3.64874609375,21.375,21.5,21.375,21.812
1484262454.0,0.0499877929688,3.60847851562,3.65452929688,3.66335742188,3.64873632813,21.375,21.5,21.375,21.812
1484262455.0,0.02099609375,3.6084765625,3.65452734375,3.66335351562,3.64873828125,21.375,21.5,21.375,21.812
1484262456.0,0.00287628173828,3.60847851562,3.65453125,3.66336523438,3.6487421875,21.375,21.5,21.375,21.812
1484262457.0,0.0253829956055,3.60848242188,3.6545234375,3.6633671875,3.6487421875,21.375,21.375,21.437,21.812
1484262458.01,-0.0488128662109,3.60848046875,3.65452539062,3.663359375,3.64874414062,21.375,21.375,21.437,21.812
